407,334
377,334
346,334
301,334
269,334
239,334
209,334
179,334
134,334
104,334
73,334
73,286
104,286
134,286
179,286
209,286
239,286
269,286
301,286
346,286
377,286
407,286
407,238
377,238
346,238
301,238
269,238
239,238
209,238
179,238
134,238
104,238
73,238
73,190
104,190
134,190
179,190
209,190
239,190
269,190
301,190
346,190
377,190
407,190
407,142
377,142
346,142
301,142
269,142
239,142
209,142
179,142
134,142
104,142
73,142
73,94
104,94
134,94
179,94
209,94
239,94
269,94
301,94
346,94
377,94
407,94
