84,297
103,307
124,324
139,340
155,355
194,393
209,408
234,438
242,458
286,453
278,433
270,414
247,388
233,374
218,359
203,345
189,330
175,317
159,301
127,271
107,263
88,256
94,211
111,220
131,228
150,236
173,257
189,272
204,287
218,301
232,315
247,330
262,345
276,360
304,390
312,409
319,428
329,448
364,426
355,406
347,385
339,368
315,342
301,326
288,314
274,298
259,285
245,270
230,255
216,241
200,225
174,201
154,193
137,185
118,177
139,141
157,149
177,157
195,166
225,192
240,208
255,222
268,236
283,251
299,266
313,280
326,293
341,309
375,344
382,364
391,382
398,402
418,342
409,320
384,294
370,280
356,264
341,250
327,236
312,221
298,207
283,192
270,179
256,164
220,131
199,122
283,143
300,161
314,175
328,190
344,205
359,220
373,234
389,250

