482,355
693,370
1531,352
1741,367
471,450
690,453
891,450
1107,459
1303,447
1534,456
1765,465
468,548
681,556
894,533
1107,551
1324,542
1549,556
1756,556
462,645
678,651
900,651
1105,651
1330,648
1537,657
1747,642
462,743
696,734
897,743
1105,746
1336,752
1525,755
1741,746
482,841
675,853
873,844
1110,847
1321,847
1522,859
1753,873
485,948
678,945
894,959
1099,939
1321,956
1540,956
1744,956
468,1051
669,1051
900,1042
1119,1036
1324,1048
1525,1060
1744,1051
465,1155
669,1158
912,1146
1119,1143
1342,1152
1528,1152
1730,1164
482,1247
690,1259
894,1250
1099,1244
1336,1247
1528,1264
1756,1250
479,1347
675,1356
900,1347
1107,1347
1324,1344
1549,1353
1741,1359
479,1439
678,1454
903,1457
1102,1460
1324,1439
1543,1451
1744,1454
471,1558
681,1564
897,1561
1090,1549
1330,1543
1510,1543
1727,1549
