607,360
600,490
602,634
602,781
602,922
607,1078
771,362
764,511
775,643
762,784
769,920
777,1060
950,351
952,494
945,639
941,769
945,926
950,1075
1112,355
1116,500
1103,641
1107,790
1105,922
1116,1065
1282,353
1276,490
1276,643
1263,786
1271,918
1271,1060
1433,357
1433,500
1425,626
1431,779
1442,913
1435,1063
1608,364
1608,502
1604,647
1602,786
1602,918
1608,1065
1768,362
1774,496
1774,637
1778,788
1770,913
1770,1060
1938,357
1942,504
1938,637
1945,794
1942,926
1942,1067
2113,366
2104,507
2092,639
2096,790
2104,920
2104,1067
2277,362
2266,485
2262,634
2264,786
2266,920
2271,1052
2441,353
2428,507
2426,626
2437,784
2439,922
2437,1052
